IO No.,Type,Customer,Due Date,IO date,A-ES,ATD,Supplier Invoice,ATA LG,ATA PU,ATA,AS Received,QC LG,QC PU,QC Receive,QC Stock,QC AS,QC REQ,QC,TRA,Price,Invoice Date,Stock For Sale,PO Receive date,App,IO Type,ATD,PO Due Date,Province,IO Ready
1075-22,Q,"Vinythai Public Co.,Ltd",20/5/2022,22/2/2022,,14/4/2022,15/5/2021,,,,,,,,,,,,5/5/2022,"86,000",5/5/2022,,22/02/2022,NP,A-S,14/4/2022,20/05/2022,,
1076-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",23/6/2022,24/2/2022,,,,,,,,,,1/3/2022,1/3/2022,,,1/3/2022,1/3/2022,"79,000",1/3/2022,S-S,24/02/2022,NP,S-S,,23/06/2022,กาญจนบุรี,
1077-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",23/6/2022,25/2/2022,,11/6/2022,,,,,,,,,,,,,21/6/2022,"112,000",21/6/2022,,24/02/2022,NP,A-S,11/6/2022,23/06/2022,กาญจนบุรี,
1078-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",23/6/2022,25/2/2022,,18/4/2022,,,,,,,,,,,,,5/5/2022,"152,000",5/5/2022,,25/02/2022,UL,A-S,18/4/2022,23/06/2022,กาญจนบุรี,28/02/2022
1079-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",23/6/2022,25/2/2022,,18/4/2022,,,,,,,,,,,,,5/5/2022,"152,000",5/5/2022,,25/02/2022,UL,A-S,18/4/2022,23/06/2022,กาญจนบุรี,28/02/2022
1080-22,I,"AGC Chemicals (Thailand) Co., Ltd.",19/8/2022,25/2/2022,,3/8/2022,,,,,,,,,,,,,17/8/2022,"285,000",17/8/2022,,25/02/2022,NP,A-S,3/8/2022,22/04/2022,สมุทรปราการ,
1081-22,A,"Siam Kraft Industry Co., Ltd ( Ban Pong )",24/6/2022,28/2/2022,,5/5/2022,,,,,,,,,,,,,16/6/2022,"213,000",16/6/2022,,25/02/2022,UL,A-S,5/5/2022,24/06/2022,ราชบุรี,01/03/2022
1082-22,I,"Bangchak Bioethanol Co,. Ltd",22/3/2022,28/2/2022,,8/3/2022,,,,,,,,23/3/2022,23/3/2022,,,23/3/2022,21/3/2022,"122,100",21/3/2022,,28/02/2022,,A-S,8/3/2022,21/03/2022,ฉะเชิงเทรา,
1083-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",30/5/2022,28/2/2022,,16/5/2022,,,,,,,,,,,,,31/5/2022,"112,000",31/5/2022,,28/02/2022,NP,A-S,16/5/2022,30/05/2022,กาญจนบุรี,
1084-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,30/5/2022,1/3/2022,,8/4/2022,,,,,,,,,,,,,22/4/2022,"36,000",22/4/2022,,01/03/2022,NP,A-S,8/4/2022,30/05/2022,ปราจีนบุรี,
1085-22,I,"GENERAL HOSPITAL PRODUCTS PUBLIC CO.,LTD.",3/3/2022,3/3/2022,,,,,,,,,,3/3/2022,3/3/2022,,,3/3/2022,3/3/2022,"28,000",4/4/2022,S-S,,NP,S-S,,03/03/2022,ปทุมธานี,
1086-22,S,"Maesod Clean Energy Co,.LTD.",31/10/2022,3/3/2022,A-ES,,,,,,,,,,,,,,2/11/2022,"190,000",2/11/2022,,03/03/2022,UL,L-M,,31/10/2022,ตาก,
1087-22,I,POSCO - Thainox Public Company Limited,31/7/2022,3/3/2022,,7/5/2022,,,,,,,,,,,,,1/7/2022,"416,640",1/7/2022,,,UL,A-S,7/5/2022,31/07/2022,ระยอง,04/03/2022
1088-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",29/7/2022,4/3/2022,,24/5/2022,,,,,,,,3/6/2022,3/6/2022,,,3/6/2022,7/6/2022,"76,000",7/6/2022,,04/03/2022,NP,A-S,24/5/2022,02/05/2022,กาญจนบุรี,
1089-22,S,"SCG Paper Energy Co., Ltd.",28/2/2023,5/3/2022,A-ES,,,,,,,,,,,,,,,"228,000",,,04/03/2022,UL,L-M,,28/02/2023,ราชบุรี,
1090-22,I,"Bangchak Bioethanol Co,. Ltd",18/4/2022,8/3/2022,,24/3/2022,,,,,,,,,,,,,28/4/2022,"821,000",28/4/2022,,08/03/2022,NP,A-S,24/3/2022,18/04/2022,ฉะเชิงเทรา,
1091-22,S,IRPC Clean Power Company Limited,31/12/2022,8/3/2022,A-ES,,,,,,,,,,,,,,,"300,800",,,07/03/2022,UL,L-M,,31/12/2022,,09/03/2022
1092-22,S,THAI CANE PAPER PUBLIC COMPANY LIMITED,30/4/2022,8/3/2022,A-ES,,,,,,,,,,,,,,22/3/2022,"65,000",22/3/2022,,08/03/2022,UL,L-M,,30/04/2022,ปราจีนบุรี,
1093-22,Q,Green Spot Co. Ltd.,19/4/2022,9/3/2022,,29/3/2022,,,,,,,,11/3/2022,11/3/2022,,,11/3/2022,8/4/2022,"68,000",8/4/2022,,08/03/2022,UL,A-S,29/3/2022,31/03/2022,ปทุมธานี,09/03/2022
1094-22,I,"Southern Thai Pipe Industry Co.,Ltd.",21/3/2022,9/3/2022,,,,,,,,,,15/3/2022,15/3/2022,,,15/3/2022,16/3/2022,"9,000",16/3/2022,S-S,08/03/2022,UL,S-S,,16/03/2022,สงขลา,09/03/2022
1095-22,I,"Siam Kraft Industry Co., Ltd ( Ban Pong )",7/6/2022,10/3/2022,,16/5/2022,,,,,,,,,,,,,31/5/2022,"58,000",31/5/2022,,10/03/2022,NP,A-S,16/5/2022,07/06/2022,ราชบุรี,
1096-22,I,Patum Vegetable Oil Company Limited,24/3/2022,10/3/2022,,,,,,,,,,11/3/2022,11/3/2022,,,11/3/2022,1/4/2022,"2,000",1/4/2022,S-S,10/03/2022,NP,S-S,,24/03/2022,ปทุมธานี,
1097-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),18/4/2022,10/3/2022,,,,,,,,,,,,,,,,"17,000",,S-S,10/03/2022,NP,S-S,,18/04/2022,ระยอง,
1098-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",7/6/2022,11/3/2022,,24/5/2022,,,,,,,,,,,,,7/6/2022,"78,000",7/6/2022,,11/03/2022,NP,A-S,24/5/2022,07/06/2022,กาญจนบุรี,
1099-22,I,"Mahanakorn Trading Co.,Ltd",18/4/2022,11/3/2022,,8/4/2022,,,,,,,,,,,,,11/5/2022,"70,000",11/5/2022,,11/03/2022,NP,A-S,8/4/2022,18/04/2022,กรุงเทพมหานคร,
1100-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,16/8/2022,11/3/2022,,,,,,,,,,,,,,,14/7/2022,"50,000",14/7/2022,,10/03/2022,UL,L-S,,16/08/2022,ปราจีนบุรี,
1101-22,I,THAI CANE PAPER PUBLIC COMPANY LIMITED,16/8/2022,11/3/2022,,,,,,,,,,,,,,,14/7/2022,"48,000",14/7/2022,,10/03/2022,UL,L-S,,16/08/2022,ปราจีนบุรี,11/03/2022
1102-22,I,"Mahanakorn Trading Co.,Ltd",18/4/2022,11/3/2022,,8/4/2022,,,,,,,,,,,,,11/5/2022,"6,400",11/5/2022,,11/03/2022,NP,A-S,8/4/2022,18/04/2022,กรุงเทพมหานคร,
1103-22,Q,Thai Plastic and Chemicals Public Company Limited ( Rayong ),15/7/2022,14/3/2022,,4/7/2022,,,,,,,,,,,,,10/8/2022,"106,000",10/8/2022,,14/03/2022,NP,A-S,4/7/2022,14/06/2022,ระยอง,
1104-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),18/4/2022,14/3/2022,,,,,,,,,,,,,,,,"53,000",,S-S,14/03/2022,NP,S-S,,18/04/2022,ระยอง,
1105-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),4/7/2022,14/3/2022,,15/6/2022,,,,,,,,,,,,,8/7/2022,"12,950",8/7/2022,,14/03/2022,UL,A-S,15/6/2022,04/07/2022,ระยอง,15/03/2022
1106-22,Q,Double A (1991) Public Company Limited,22/4/2022,16/3/2022,,,,,,,,,,24/3/2022,24/3/2022,,,24/3/2022,7/4/2022,"49,000",7/4/2022,S-S,16/03/2022,NP,S-S,,22/04/2022,ปราจีนบุรี,
